# abbr_inter_2017_02.tsvのユーザ回答を集計したファイル
# 本tsvファイルの列名は以下の通り。ただし、この行のように、「#」で始める行はコメント行。
#語彙素ID	原言語側で２つの部分に分割できるカタカナ「語彙素」	当該語彙素の原言語側での表記（スペース区切り）	原言語側の分割に従って分割した語彙素の前部	語彙素原言語側表記での前部	語彙素前部中で原言語からの省略が起きて「いる」と回答したユーザ数	語彙素前部中で原言語からの省略が起きて「いない」と回答したユーザ数	原言語側の分割に従って分割した語彙素の後部	語彙素原言語側表記での後部	語彙素後部中で原言語からの省略が起きて「いる」と回答したユーザ数	語彙素後部中で原言語からの省略が起きて「いない」と回答したユーザ数
88553	セントビンセント	Saint Vincent	セント	Saint	abb:3	!abb:197	ビンセント	Vincent	abb:2	!abb:198
88691	カーボベルデ	Cabo Verde	カーボ	Cabo	abb:2	!abb:196	ベルデ	Verde	abb:2	!abb:196
88743	チェコスロバキア	Czecho Slovakia	チェコ	Czecho	abb:0	!abb:100	スロバキア	Slovakia	abb:0	!abb:100
88764	ラマンシュ	La Manche	ラ	La	abb:0	!abb:100	マンシュ	Manche	abb:0	!abb:100
93171	ウォントゥ	want to	ウォン	want	abb:17	!abb:83	トゥ	to	abb:0	!abb:100
93310	プロパテント	pro patent	プロ	pro	abb:5	!abb:194	パテント	patent	abb:2	!abb:197
93476	エルバラダイ	al Baradai	エル	al	abb:1	!abb:99	バラダイ	Baradai	abb:1	!abb:99
93675	サンサルバドル	San Salvador	サン	San	abb:0	!abb:99	サルバドル	Salvador	abb:0	!abb:99
93684	アブサヤフ	Abu Sayyaf	アブ	Abu	abb:3	!abb:97	サヤフ	Sayyaf	abb:1	!abb:99
93914	コメディカル	co medical	コ	co	abb:2	!abb:98	メディカル	medical	abb:1	!abb:99
94296	オルティンドー	urtin duu	オルティン	urtin	abb:4	!abb:194	ドー	duu	abb:3	!abb:195
94306	ギャスディン	Ghiyas Uddin	ギャス	Ghiyas	abb:0	!abb:100	ディン	Uddin	abb:10	!abb:90
94322	クロマニョン	Cro Magnon	クロ	Cro	abb:1	!abb:99	マニョン	Magnon	abb:1	!abb:99
94355	ギニアビサウ	Guinea Bissau	ギニア	Guinea	abb:1	!abb:297	ビサウ	Bissau	abb:1	!abb:297
94357	コスタリカ	Costa Rica	コスタ	Costa	abb:1	!abb:99	リカ	Rica	abb:1	!abb:99
94361	シエラレオネ	Sierra Leone	シエラ	Sierra	abb:1	!abb:99	レオネ	Leone	abb:1	!abb:99
94371	ブルキナファソ	Burkina Faso	ブルキナ	Burkina	abb:1	!abb:99	ファソ	Faso	abb:1	!abb:99
94372	ブルネイダルサラーム	Brunei Darussalam	ブルネイ	Brunei	abb:4	!abb:293	ダルサラーム	Darussalam	abb:4	!abb:293
94590	レビヤヒヘド	Revilla Gigedo	レビヤ	Revilla	abb:2	!abb:98	ヒヘド	Gigedo	abb:2	!abb:98
94746	サンピエトロ	San Pietro	サン	San	abb:2	!abb:198	ピエトロ	Pietro	abb:1	!abb:199
95093	アプリオリ	a priori	ア	a	abb:1	!abb:97	プリオリ	priori	abb:1	!abb:97
95597	シュリービジャヤ	Sri Vijaya	シュリー	Sri	abb:3	!abb:95	ビジャヤ	Vijaya	abb:1	!abb:97
96376	フリマ	flea market	フリ	flea	abb:123	!abb:77	マ	market	abb:196	!abb:4
96513	ブギウギ	boogie woogie	ブギ	boogie	abb:19	!abb:81	ウギ	woogie	abb:20	!abb:80
96561	プンタアレナス	Punta Arenas	プンタ	Punta	abb:3	!abb:197	アレナス	Arenas	abb:1	!abb:199
96580	プレアニミズム	pre animism	プレ	pre	abb:5	!abb:93	アニミズム	animism	abb:1	!abb:97
96692	セルフメディケーション	self medication	セルフ	self	abb:0	!abb:100	メディケーション	medication	abb:2	!abb:98
97273	ダライラマ	Dalai Lama	ダライ	Dalai	abb:0	!abb:99	ラマ	Lama	abb:0	!abb:99
97370	ノースヨーク	North York	ノース	North	abb:2	!abb:197	ヨーク	York	abb:2	!abb:197
97621	ラアーグ	La Hague	ラ	La	abb:2	!abb:98	アーグ	Hague	abb:5	!abb:95
97654	エコファーマー	eco farmer	エコ	eco	abb:3	!abb:97	ファーマー	farmer	abb:0	!abb:100
97851	パンタカバー	pantograph cover	パンタ	pantograph	abb:98	!abb:2	カバー	cover	abb:1	!abb:99
98642	シーテック	C TECH	シー	C	abb:3	!abb:96	テック	TECH	abb:2	!abb:97
99067	グッデー	good day	グッ	good	abb:95	!abb:102	デー	day	abb:10	!abb:187
100026	インビボ	in vivo	イン	in	abb:0	!abb:100	ビボ	vivo	abb:1	!abb:99
100257	サンタカランタ	Santa Lucia	サンタ	Santa	abb:3	!abb:97	カランタ	Lucia	abb:16	!abb:84
100258	サンテグジュペリ	Saint Exupery	サンテ	Saint	abb:10	!abb:190	グジュペリ	Exupery	abb:10	!abb:190
100263	シャングリラ	Shangri La	シャングリ	Shangri	abb:1	!abb:99	ラ	La	abb:1	!abb:99
100408	ビラノバ	Villa Nova	ビラ	Villa	abb:1	!abb:99	ノバ	Nova	abb:2	!abb:98
101480	イリアンジャヤ	Irian Jaya	イリアン	Irian	abb:1	!abb:99	ジャヤ	Jaya	abb:0	!abb:100
101536	オンエアー	on air	オン	on	abb:1	!abb:99	エアー	air	abb:0	!abb:100
101955	フリペ	free paper	フリ	free	abb:72	!abb:27	ペ	paper	abb:97	!abb:2
102036	ホンゲイ	Hon Gai	ホン	Hon	abb:6	!abb:194	ゲイ	Gai	abb:4	!abb:196
102049	ポビドンヨード	povidon iodine	ポビドン	povidon	abb:1	!abb:99	ヨード	iodine	abb:13	!abb:87
102057	マイクロシーベルト	micro Sievert	マイクロ	micro	abb:1	!abb:97	シーベルト	Sievert	abb:1	!abb:97
114912	アドホック	ad hoc	アド	ad	abb:4	!abb:96	ホック	hoc	abb:2	!abb:98
115289	キャバクラ	cabaret club	キャバ	cabaret	abb:99	!abb:1	クラ	club	abb:87	!abb:13
115302	キャンギャル	campaign girl	キャン	campaign	abb:99	!abb:1	ギャル	girl	abb:35	!abb:65
115780	サンステファノ	San Stefano	サン	San	abb:2	!abb:95	ステファノ	Stefano	abb:0	!abb:97
116274	タクラマカン	Takla Makan	タクラ	Takla	abb:2	!abb:98	マカン	Makan	abb:1	!abb:99
117344	ダンブランシュ	Dent Blanche	ダン	Dent	abb:12	!abb:88	ブランシュ	Blanche	abb:0	!abb:100
117373	ブルーマウンテン	Blue Mountain	ブルー	Blue	abb:0	!abb:100	マウンテン	Mountain	abb:0	!abb:100
117978	ミトー	My Tho	ミ	My	abb:22	!abb:78	トー	Tho	abb:7	!abb:93
120141	アルアクサ	Al Aqsa	アル	Al	abb:2	!abb:198	アクサ	Aqsa	abb:1	!abb:199
120194	コーンビーフ	corned beef	コーン	corned	abb:45	!abb:55	ビーフ	beef	abb:0	!abb:100
120834	スパコン	super computer	スパ	super	abb:190	!abb:9	コン	computer	abb:199	!abb:0
132937	ゲネプロ	general probe	ゲネ	general	abb:196	!abb:4	プロ	probe	abb:193	!abb:7
135306	レガーズ	leg guards	レ	leg	abb:34	!abb:65	ガーズ	guards	abb:3	!abb:96
135550	タミルナド	Tamil Nadu	タミル	Tamil	abb:0	!abb:97	ナド	Nadu	abb:0	!abb:97
135992	サンドニ	Saint Denis	サン	Saint	abb:39	!abb:61	ドニ	Denis	abb:46	!abb:54
136010	スーサイドクリフ	Suicide Cliff	スーサイド	Suicide	abb:0	!abb:100	クリフ	Cliff	abb:0	!abb:100
136108	サンタバーバラ	Santa Barbara	サンタ	Santa	abb:1	!abb:99	バーバラ	Barbara	abb:0	!abb:100
136124	バンザイクリフ	banzai cliff	バンザイ	banzai	abb:1	!abb:498	クリフ	cliff	abb:2	!abb:497
136326	フォートワース	Fort Worth	フォート	Fort	abb:1	!abb:395	ワース	Worth	abb:2	!abb:394
137780	ドビルパン	de Villepin	ド	de	abb:0	!abb:99	ビルパン	Villepin	abb:0	!abb:99
137785	キティホーク	Kitty Hawk	キティ	Kitty	abb:1	!abb:196	ホーク	Hawk	abb:2	!abb:195
137867	プロムジカ	pro musica	プロ	pro	abb:2	!abb:98	ムジカ	musica	abb:1	!abb:99
138120	サウスカロライナ	South Carolina	サウス	South	abb:0	!abb:100	カロライナ	Carolina	abb:0	!abb:100
138166	スリーマイル	Three Mile	スリー	Three	abb:0	!abb:98	マイル	Mile	abb:0	!abb:98
138943	コスプレ	costume play	コス	costume	abb:299	!abb:1	プレ	play	abb:277	!abb:23
138959	アカハラ	academic harassment	アカ	academic	abb:299	!abb:1	ハラ	harassment	abb:300	!abb:0
139050	デフレスパイラル	deflation spiral	デフレ	deflation	abb:189	!abb:11	スパイラル	spiral	abb:4	!abb:196
139530	ガドガド	gado gado	ガド	gado	abb:5	!abb:293	ガド	gado	abb:5	!abb:293
139586	グヌンアグン	Gunung Agung	グヌン	Gunung	abb:3	!abb:97	アグン	Agung	abb:2	!abb:98
139674	テークアウト	take out	テーク	take	abb:1	!abb:99	アウト	out	abb:1	!abb:99
140225	バリアガ	Bali Aga	バリ	Bali	abb:2	!abb:98	アガ	Aga	abb:1	!abb:99
140240	プラダーレム	Pura Dalem	プラ	Pura	abb:7	!abb:189	ダーレム	Dalem	abb:2	!abb:194
140289	デンハーグ	Den Haag	デン	Den	abb:1	!abb:198	ハーグ	Haag	abb:0	!abb:199
140321	ローテク	low technology	ロー	low	abb:1	!abb:299	テク	technology	abb:299	!abb:1
140330	ワンレン	one length	ワン	one	abb:2	!abb:98	レン	length	abb:90	!abb:10
141705	イエッサー	yes sir	イエッ	yes	abb:31	!abb:69	サー	sir	abb:2	!abb:98
141878	エンスト	engine stop	エン	engine	abb:391	!abb:4	スト	stop	abb:378	!abb:17
142242	ビニタイル	vinyl tile	ビニ	vinyl	abb:156	!abb:44	タイル	tile	abb:2	!abb:198
142265	ボディコン	body conscious	ボディ	body	abb:2	!abb:98	コン	conscious	abb:97	!abb:3
142563	ヘイワーズヒース	Haywards Heath	ヘイワーズ	Haywards	abb:0	!abb:100	ヒース	Heath	abb:2	!abb:98
143513	シスオペ	system operator	シス	system	abb:98	!abb:1	オペ	operator	abb:98	!abb:1
