# ref_src_2019_03.tsv をマルチクラスのGLAD法で品質評価した結果
# 本tsvファイルの列名は以下の通り。ただし、この行のように、「#」で始める行はコメント行。
#語彙素ID_1	語彙素読み1	語彙素1	語彙素ID_2	語彙素読み2	語彙素2	2つの語彙素が近しい意味を持つ確率
293595	アワレミル	哀れみる	1314	アワレミ	哀れみ	0.999869
201755	ノミクラス	飲み暮らす	29226	ノム	飲む	0.94937
202365	ユサブリウゴカス	揺さぶり動かす	38820	ユサブリ	揺さぶり	0.998484
202319	ニクミキラウ	憎み嫌う	28247	ニクム	憎む	0.996963
191995	シタテナオシ	仕立て直し	15430	シタテ	仕立て	0.875731
86021	フライド	フライド-fried	86016	フライ	フライ-fly	0.997457
41329	ワライコケル	笑いこける	41327	ワライ	笑い	0.999968
41330	ワライコロゲル	笑い転げる	41327	ワライ	笑い	0.99745
201476	キクズレル	着崩れる	49677	キクズレ	着崩れ	0.902864
201525	アラクレル	荒くれる	19170	スサム	荒む	0.960316
311514	テラシカンガエル	照らし考える	199815	テラシアウ	照らし合う	0.961635
89411	ナノリアウ	名乗り合う	27939	ナノリ	名乗り	0.996202
89942	ナガレオリル	流れ下りる	92503	ナガレクダル	流れ下る	0.999905
89986	テラシツケル	照らし付ける	59869	テラシダス	照らし出す	0.828219
89895	ヤキコロス	焼き殺す	38118	ヤキ	焼き	0.865634
201525	アラクレル	荒くれる	46583	アラクレ	荒くれ	0.99897
71146	アシイ	悪しい	87080	ワロイ	悪い	0.999558
330403	アジアンチック	アジアンチック	70969	アジアン	アジアン-Asian	0.92526
86600	マニュファクチャリング	マニュファクチャリング-manufacturing	224026	マニュファクチュラル	マニュファクチュラル-mamufactural	0.819907
235907	リクルートメント	リクルートメント-recruitment	39941	リクルート	リクルート-recruit	0.999807
224834	マモリカツ	守り勝つ	36011	マモル	守る	0.987411
7269	カリアゲル	借り上げる	49788	カリアゲ	借り上げ	0.999994
89383	ツツミオオウ	包み覆う	24639	ツツミ	包み	0.822794
239728	ファンデパクト	ファンデパクト	120867	ファンデ	ファンデ-foundation	0.908829
239418	ファッショニスタ	ファッショニスタ-fashionista	32320	ファッション	ファッション-fashion	0.881563
49099	カワリミ	変わり身	7439	カワリ	変わり	0.99596
48350	オイスガル	追い縋る	4396	オウ	追う	0.929592
48160	カキワケル	書き分ける	6124	カク	書く	0.932846
174930	シゴキタテル	扱き立てる	56398	シゴキ	扱き	0.903759
174809	シャベリコトバ	喋り言葉	15973	シャベリ	喋り	0.854006
174500	トジアワサル	閉じ合わさる	91186	トジアワス	閉じ合わす	0.992911
90157	モウシキカス	申し聞かす	37616	モウス	申す	0.997962
134153	ハンカチーフ	ハンカチーフ-handkerchief	30327	ハンカチ	ハンカチ-handkerchief	0.999997
33132	フリワケル	振り分ける	33146	フル	振る	0.814354
32996	フミイレル	踏み入れる	32995	フミイル	踏み入る	0.999888
1545	イイツタエル	言い伝える	1544	イイツタエ	言い伝え	0.999345
54554	オモウサマ	思う様	5220	オモイ	思い	0.878949
90880	ハセメグル	馳せ巡る	29753	ハセル	馳せる	0.991898
